epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5224.47,0.8119,0.51278,1.03449,0.7137,0.55765,0.59174,0.38089,0.93287,0.6104,1.06635,0.005842,0.005842,0.005842
44,5341.48,0.80695,0.50781,1.02895,0.72248,0.55341,0.6033,0.39031,0.91288,0.58797,1.05356,0.005743,0.005743,0.005743
45,5458.45,0.81052,0.51135,1.02921,0.70393,0.574,0.60511,0.39372,0.91067,0.59935,1.05274,0.005644,0.005644,0.005644
46,5582.08,0.8154,0.5151,1.02225,0.74168,0.57824,0.61007,0.39692,0.90928,0.58904,1.06027,0.005545,0.005545,0.005545
47,5704.89,0.79901,0.50286,1.01926,0.71336,0.56738,0.61465,0.39987,0.91822,0.58256,1.05631,0.005446,0.005446,0.005446
48,5819.82,0.80475,0.50017,1.02083,0.68286,0.59503,0.60999,0.39674,0.90983,0.59203,1.04923,0.005347,0.005347,0.005347
49,5938.45,0.79263,0.48964,1.01922,0.73499,0.58465,0.62178,0.4048,0.91614,0.57808,1.05594,0.005248,0.005248,0.005248
50,6060.53,0.79414,0.49036,1.02318,0.74998,0.57865,0.62208,0.40444,0.91521,0.58639,1.05353,0.005149,0.005149,0.005149
51,6182.98,0.78791,0.48544,1.01074,0.72886,0.58574,0.6229,0.40548,0.91378,0.5871,1.05861,0.00505,0.00505,0.00505
52,6303.9,0.78829,0.48648,1.01121,0.70972,0.57021,0.60051,0.39304,0.91214,0.58889,1.05976,0.004951,0.004951,0.004951
53,6424.66,0.766,0.47163,1.00585,0.69035,0.5944,0.6181,0.40378,0.9062,0.57237,1.05046,0.004852,0.004852,0.004852
54,6543.95,0.77658,0.4767,1.011,0.74833,0.5606,0.60587,0.39287,0.91023,0.58733,1.05677,0.004753,0.004753,0.004753
55,6664,0.78077,0.47909,1.00793,0.72417,0.57439,0.60894,0.39766,0.90895,0.57968,1.04679,0.004654,0.004654,0.004654
56,6793.58,0.76666,0.46719,1.00449,0.74648,0.59439,0.63128,0.41476,0.90953,0.57708,1.05701,0.004555,0.004555,0.004555
57,6915,0.75494,0.46227,1.00072,0.73593,0.56805,0.61402,0.40327,0.90596,0.58316,1.04973,0.004456,0.004456,0.004456
58,7036.39,0.7526,0.46022,0.99945,0.6867,0.59249,0.61089,0.3965,0.91454,0.58117,1.0598,0.004357,0.004357,0.004357
59,7157.53,0.75347,0.46062,0.99527,0.71506,0.59244,0.62739,0.41418,0.9008,0.56766,1.05504,0.004258,0.004258,0.004258
60,7286.11,0.75034,0.45482,0.99353,0.71799,0.58252,0.62249,0.41048,0.91192,0.57637,1.05795,0.004159,0.004159,0.004159
61,7404.78,0.75867,0.4581,0.99716,0.73948,0.58529,0.62429,0.40817,0.90657,0.57061,1.05354,0.00406,0.00406,0.00406
62,7523.78,0.73618,0.44795,0.98808,0.74997,0.59265,0.63595,0.41268,0.90516,0.57434,1.05434,0.003961,0.003961,0.003961
63,7643.79,0.74072,0.44753,0.9852,0.74472,0.58023,0.63152,0.41042,0.90047,0.56848,1.05002,0.003862,0.003862,0.003862
64,7773.12,0.73743,0.44149,0.98839,0.75076,0.58555,0.63135,0.41711,0.9013,0.56503,1.05688,0.003763,0.003763,0.003763
65,7896.02,0.73976,0.44411,0.98273,0.70863,0.58669,0.62252,0.40802,0.89955,0.56757,1.04904,0.003664,0.003664,0.003664
66,8018.1,0.72926,0.43571,0.97958,0.7194,0.6031,0.63846,0.42016,0.90721,0.57142,1.0549,0.003565,0.003565,0.003565
67,8141.59,0.72176,0.43053,0.97827,0.73376,0.58357,0.62179,0.40943,0.90499,0.56887,1.05175,0.003466,0.003466,0.003466
68,8271.2,0.71415,0.42909,0.97714,0.78058,0.57319,0.62098,0.41287,0.90223,0.56744,1.05282,0.003367,0.003367,0.003367
69,8392.47,0.72695,0.43221,0.97204,0.749,0.59016,0.63064,0.41132,0.89873,0.56979,1.05334,0.003268,0.003268,0.003268
70,8509.88,0.70568,0.42062,0.97453,0.7407,0.57281,0.62157,0.40316,0.91257,0.573,1.06215,0.003169,0.003169,0.003169
71,8628.32,0.71695,0.42615,0.97537,0.78262,0.57418,0.63164,0.41582,0.90557,0.56816,1.05981,0.00307,0.00307,0.00307
72,8757.39,0.71258,0.42112,0.97018,0.75699,0.57772,0.63223,0.41543,0.90519,0.5661,1.05603,0.002971,0.002971,0.002971
73,8880.23,0.70599,0.4181,0.96891,0.76317,0.58796,0.63646,0.41648,0.90619,0.56661,1.05966,0.002872,0.002872,0.002872
74,9003.1,0.70402,0.42035,0.9722,0.72724,0.58667,0.61741,0.40771,0.90835,0.56969,1.06257,0.002773,0.002773,0.002773
75,9124.3,0.69791,0.41622,0.96938,0.71662,0.59395,0.63209,0.41261,0.90814,0.57475,1.05957,0.002674,0.002674,0.002674
76,9257.71,0.69059,0.40942,0.9668,0.73461,0.60375,0.64094,0.41838,0.90285,0.56467,1.05775,0.002575,0.002575,0.002575
77,9380.07,0.68844,0.40535,0.96258,0.7168,0.60505,0.63857,0.41615,0.90324,0.56243,1.05514,0.002476,0.002476,0.002476
78,9500.48,0.69111,0.4026,0.96113,0.78463,0.58391,0.64972,0.42291,0.90361,0.56405,1.05801,0.002377,0.002377,0.002377
79,9625.3,0.68735,0.40261,0.95784,0.77306,0.58495,0.64032,0.42309,0.90391,0.56101,1.06128,0.002278,0.002278,0.002278
80,9754.89,0.68486,0.39714,0.95832,0.76026,0.59792,0.64561,0.42287,0.90342,0.561,1.05883,0.002179,0.002179,0.002179
81,9881.12,0.67226,0.3981,0.95565,0.74665,0.5793,0.62959,0.41541,0.90527,0.5748,1.06613,0.00208,0.00208,0.00208
82,10004,0.65958,0.38382,0.94857,0.74108,0.59487,0.6371,0.41921,0.90446,0.55934,1.06271,0.001981,0.001981,0.001981
83,10130.2,0.6645,0.386,0.95251,0.73796,0.59484,0.62933,0.41544,0.89987,0.56778,1.05937,0.001882,0.001882,0.001882
84,10258,0.66767,0.38663,0.94869,0.77328,0.57377,0.63259,0.41443,0.899,0.56004,1.06216,0.001783,0.001783,0.001783
85,10410.7,0.65344,0.3852,0.95027,0.80378,0.57394,0.63452,0.41749,0.89945,0.56679,1.06505,0.001684,0.001684,0.001684
86,10536.5,0.65255,0.37955,0.94405,0.79394,0.58297,0.63759,0.4148,0.90098,0.56131,1.06735,0.001585,0.001585,0.001585
87,10702.4,0.65868,0.38356,0.94906,0.74246,0.60879,0.6395,0.41939,0.89817,0.56017,1.06487,0.001486,0.001486,0.001486
88,10839.6,0.64911,0.37988,0.94527,0.75635,0.59733,0.63674,0.41634,0.89966,0.56506,1.06303,0.001387,0.001387,0.001387
89,10974.9,0.63144,0.36719,0.94279,0.754,0.59483,0.62905,0.41265,0.90498,0.57229,1.06764,0.001288,0.001288,0.001288
90,11243.1,0.64532,0.37493,0.94325,0.74221,0.60495,0.6412,0.4213,0.89769,0.56426,1.05857,0.001189,0.001189,0.001189
91,11393.1,0.60174,0.3171,0.89728,0.70967,0.61084,0.63463,0.41712,0.90091,0.56519,1.05951,0.00109,0.00109,0.00109
92,11521.4,0.58726,0.30369,0.89143,0.77588,0.57895,0.6388,0.41537,0.89651,0.56263,1.06076,0.000991,0.000991,0.000991
93,11651,0.57692,0.29868,0.89002,0.78178,0.60264,0.6457,0.42283,0.89498,0.55987,1.06577,0.000892,0.000892,0.000892
94,11777.1,0.57587,0.29941,0.88864,0.73168,0.61539,0.63957,0.41796,0.8982,0.57022,1.07116,0.000793,0.000793,0.000793
95,11902,0.56171,0.29025,0.88478,0.74849,0.61044,0.63643,0.41456,0.89868,0.57468,1.06853,0.000694,0.000694,0.000694
96,12025.1,0.5723,0.29445,0.88471,0.72918,0.60891,0.63344,0.41483,0.89744,0.57218,1.06949,0.000595,0.000595,0.000595
97,12151.8,0.56228,0.29071,0.88123,0.74652,0.60875,0.63434,0.41462,0.89905,0.57409,1.07031,0.000496,0.000496,0.000496
98,12281.4,0.55817,0.28995,0.87913,0.74574,0.60552,0.63573,0.41666,0.89641,0.56903,1.06978,0.000397,0.000397,0.000397
99,12400.1,0.5568,0.28866,0.88027,0.74193,0.60752,0.63711,0.4172,0.89908,0.57048,1.07086,0.000298,0.000298,0.000298
100,12522.3,0.54953,0.2841,0.87589,0.73853,0.59738,0.63518,0.41744,0.89758,0.56992,1.07129,0.000199,0.000199,0.000199
